Class,Images,Instances,Box(P),Box(R),Box(mAP50),Box(mAP50-95),Mask(P),Mask(R),Mask(mAP50),Mask(mAP50-95)
Paper Towel/Napkins/Tissue/Tissue Paper,906,1870,0.695,0.665,0.726,0.56,0.692,0.668,0.72,0.527
Office Paper,248,562,0.506,0.63,0.605,0.499,0.482,0.609,0.565,0.433
Snack or Candy Bag or Wrapper,501,758,0.681,0.528,0.615,0.48,0.677,0.531,0.607,0.463
Metal Can,343,634,0.86,0.883,0.922,0.823,0.858,0.885,0.923,0.826
Clean Plastic Film,427,626,0.643,0.482,0.542,0.385,0.632,0.478,0.537,0.354
Fruits And Veggies,127,219,0.444,0.566,0.525,0.405,0.443,0.571,0.527,0.369
Clean Cardboard,364,573,0.611,0.626,0.64,0.524,0.606,0.627,0.635,0.509
Plastic Lid except black,306,372,0.591,0.575,0.599,0.515,0.588,0.578,0.587,0.458
Empty Paper Bag,460,569,0.651,0.671,0.67,0.557,0.645,0.666,0.655,0.53
Other Food or Mixed Food,133,196,0.628,0.337,0.431,0.3,0.633,0.344,0.436,0.268
Paper Cup,215,259,0.707,0.687,0.738,0.666,0.715,0.696,0.748,0.637
Plastic Drink Bottle,265,355,0.835,0.758,0.859,0.747,0.84,0.763,0.862,0.737
Batteries,1,1,1,0,0,0,1,0,0.0,0.0
Plastic Straws,148,164,0.746,0.64,0.66,0.523,0.731,0.64,0.664,0.429
Compostable Fiber Ware,146,196,0.661,0.704,0.729,0.646,0.653,0.701,0.72,0.583
Clear Plastic Cup,167,189,0.752,0.755,0.788,0.717,0.752,0.757,0.792,0.711
Sandwich paper wrapper,126,170,0.721,0.578,0.679,0.522,0.714,0.573,0.671,0.508
Filled Bag,203,223,0.692,0.414,0.586,0.477,0.693,0.417,0.57,0.432
Wooden Coffee Stirrer or Utensil or Chopstick,53,65,0.552,0.569,0.556,0.454,0.544,0.57,0.548,0.376
Shelf Stable Carton,62,135,0.705,0.745,0.78,0.653,0.699,0.74,0.773,0.639
Flexible container lid / seal,74,91,0.779,0.385,0.465,0.391,0.734,0.364,0.444,0.365
Magazines Newspaper,76,112,0.562,0.643,0.633,0.511,0.56,0.643,0.618,0.411
Small Paper Packets,22,25,0.438,0.16,0.138,0.102,0.42,0.16,0.138,0.1
Plastic Cutlery,65,78,0.487,0.256,0.329,0.241,0.483,0.256,0.282,0.16
Receipts and Thermal Paper,65,71,0.356,0.31,0.309,0.272,0.354,0.31,0.311,0.265
Aluminum Foil,45,51,0.576,0.686,0.706,0.618,0.607,0.726,0.727,0.6
Yogurt Tub or Container,47,57,0.77,0.702,0.767,0.668,0.754,0.702,0.739,0.602
Cardboard Coffee Cup Sleeve,65,67,0.825,0.672,0.741,0.652,0.823,0.672,0.737,0.644
Tea Bags,32,33,0.608,0.283,0.354,0.247,0.677,0.318,0.383,0.237
Colored Memo Note,44,54,0.417,0.389,0.336,0.302,0.41,0.389,0.336,0.291
Clean Paper Plate,41,56,0.763,0.46,0.588,0.5,0.734,0.444,0.56,0.463
Glass Bottles,70,117,0.758,0.658,0.736,0.588,0.756,0.658,0.729,0.574
Metallic Bottle Cap or Lid,49,59,0.641,0.454,0.515,0.361,0.617,0.438,0.501,0.322
Compostable Cutlery,34,37,0.718,0.552,0.607,0.553,0.719,0.555,0.6,0.52
Wrapping Paper,95,114,0.67,0.351,0.507,0.372,0.666,0.351,0.481,0.327
Compostable Plastic Lid,37,39,0.636,0.615,0.653,0.549,0.63,0.615,0.628,0.496
Coffee Grounds & Filters,71,90,0.83,0.844,0.902,0.781,0.813,0.833,0.896,0.758
Plastic Milk Jug or Personal Care Bottle,32,33,0.791,0.606,0.717,0.682,0.79,0.606,0.717,0.686
Latex Gloves,19,29,0.762,0.759,0.783,0.641,0.757,0.759,0.773,0.664
Shredded Paper,63,78,0.833,0.744,0.797,0.707,0.833,0.744,0.796,0.716
Refrigerated Beverage Carton,17,21,0.596,0.571,0.559,0.474,0.644,0.619,0.567,0.481
Liquids,8,8,0.791,0.478,0.472,0.313,0.585,0.357,0.285,0.123
Overall:,Box(Precision),Box(Recall),Box(mAP50),Box(mAP50-95),Mask(Precision),Mask(Recall),Mask(mAP50),Mask(mAP50-95),,
,0.672,0.553,0.598,0.495,0.664,0.551,0.587,0.462,,
